scenario_label,storm,display_year,is_training_data,v2_total_m3,gt_total_m3,paper_total_m3,delta_vs_paper_m3,delta_vs_paper_pct
"Ike (training-time, 2008)",ike,2008,True,1808993.0,1933929.2796339141,,,
Hurricane Ike (2020),ike,2020,False,2279912.0,1933929.2796339141,1695090.0,584822.0,34.50094095298775
Hurricane Ike (2030),ike,2030,False,2413267.0,,1802706.0,610561.0,33.86913895000072
Hurricane Ike (2040),ike,2040,False,2591154.75,,1901761.0,689393.75,36.250283290066406
FEMA33 (2020),fema33,2020,False,2689342.5,,968645.0,1720697.5,177.6396409417279
FEMA33 (2030),fema33,2030,False,2799221.5,,1126164.0,1673057.5,148.56250954567898
FEMA33 (2040),fema33,2040,False,2990164.5,,1325042.0,1665122.5,125.66563927784932
FEMA36 (2020),fema36,2020,False,4490904.0,,2786767.0,1704137.0,61.15103989676926
FEMA36 (2030),fema36,2030,False,4725101.5,,3096080.0,1629021.5,52.61561393762435
FEMA36 (2040),fema36,2040,False,5010320.5,,3394111.0,1616209.5,47.61805079444956
